Camera,Species,Date,Time,Hour
BK1,SYLAUD,2/17/21,4:10:02,4
BK1,SYLAUD,2/17/21,4:10:06,4
BK1,SYLAUD,2/17/21,5:05:39,5
BK1,SYLAUD,2/17/21,18:58:44,18
BK1,SYLAUD,2/17/21,19:10:01,19
BK1,SYLAUD,2/17/21,19:31:59,19
BK1,SYLAUD,2/17/21,19:50:03,19
BK1,SYLAUD,2/17/21,19:50:13,19
BK1,SYLAUD,2/17/21,19:50:25,19
BK1,SYLAUD,2/17/21,19:54:25,19
BK1,SYLAUD,2/17/21,19:54:38,19
BK1,SYLAUD,2/17/21,20:09:21,20
BK1,SYLAUD,2/17/21,20:10:04,20
BK1,SYLAUD,2/17/21,20:22:58,20
BK1,SYLAUD,2/17/21,21:26:13,21
BK1,SYLAUD,2/17/21,21:36:25,21
BK1,SYLAUD,2/18/21,1:08:04,1
BK1,SYLAUD,2/18/21,2:38:35,2
BK1,SYLAUD,2/18/21,2:38:58,2
BK1,SYLAUD,2/18/21,4:57:41,4
BK1,SYLAUD,2/18/21,5:05:39,5
BK1,SYLAUD,2/18/21,5:45:37,5
BK1,CANLAT,2/18/21,7:44:45,7
BK1,SYLAUD,3/4/21,18:33:41,18
BK1,SYLAUD,3/4/21,18:42:03,18
BK1,SYLAUD,3/4/21,20:23:31,20
BK1,SYLAUD,3/4/21,20:29:19,20
BK1,SYLAUD,3/4/21,20:50:36,20
BK1,SYLAUD,3/4/21,20:52:11,20
BK1,SYLAUD,3/4/21,20:53:17,20
BK1,SYLAUD,3/5/21,18:42:39,18
BK1,SYLAUD,3/5/21,18:43:50,18
BK1,SYLAUD,3/5/21,19:57:26,19
BK1,SYLAUD,3/5/21,20:08:52,20
BK1,SYLAUD,3/5/21,20:17:27,20
BK1,SYLAUD,3/5/21,23:11:54,23
BK1,ZENMAC,3/6/21,15:02:41,15
BK1,SAYNIG,3/6/21,15:57:04,15
BK1,SYLAUD,3/6/21,18:35:12,18
BK1,SYLAUD,3/6/21,18:40:15,18
BK1,SYLAUD,3/6/21,18:41:40,18
BK1,SYLAUD,3/6/21,18:44:02,18
BK1,SYLAUD,3/6/21,18:45:25,18
BK1,SYLAUD,3/6/21,18:46:36,18
BK1,SYLAUD,3/6/21,19:16:26,19
BK1,SYLAUD,3/7/21,19:48:20,19
BK1,SYLAUD,3/7/21,19:07:04,19
BK1,SYLAUD,3/7/21,19:30:55,19
BK1,SYLAUD,3/7/21,20:23:55,20
BK1,SYLAUD,3/7/21,21:16:25,21
BK1,CHAVOC,3/7/21,22:02:13,22
BK1,SYLAUD,3/7/21,22:38:44,22
BK1,SYLAUD,3/7/21,23:00:33,23
BK1,CHAVOC,3/8/21,0:55:20,0
BK1,SYLAUD,3/8/21,1:53:57,1
BK1,SYLAUD,3/8/21,2:21:53,2
BK1,CHAVOC,3/8/21,2:23:31,2
BK1,CHAVOC,3/8/21,2:32:43,2
BK1,CHAVOC,3/8/21,2:33:42,2
BK1,CHAVOC,3/8/21,3:04:11,3
BK1,SYLAUD,3/8/21,3:09:12,3
BK1,CHAVOC,3/8/21,3:11:17,3
BK1,CHAVOC,3/8/21,3:12:20,3
BK1,CHAVOC,3/8/21,3:13:38,3
BK1,CHAVOC,3/8/21,3:48:28,3
BK1,SYLAUD,3/8/21,3:48:28,3
BK1,CHAVOC,3/8/21,4:12:45,4
BK1,CHAVOC,3/8/21,4:47:13,4
BK1,SYLAUD,3/8/21,5:08:32,5
BK1,SYLAUD,3/8/21,5:15:40,5
BK1,SYLAUD,3/8/21,5:20:56,5
BK1,SYLAUD,3/8/21,5:24:35,5
BK1,SYLAUD,3/8/21,5:29:26,5
BK1,SYLAUD,3/8/21,18:54:34,18
BK1,SYLAUD,3/8/21,19:00:38,19
BK1,SYLAUD,3/8/21,19:02:46,19
BK1,SYLAUD,3/8/21,19:04:44,19
BK1,SYLAUD,3/8/21,19:06:24,19
BK1,SYLAUD,3/8/21,19:46:41,19
BK1,SYLAUD,3/8/21,19:50:37,19
BK1,CHAVOC,3/8/21,20:30:39,20
BK1,SYLAUD,3/8/21,20:59:18,20
BK1,SYLAUD,3/9/21,0:08:20,0
BK1,CHAVOC,3/9/21,0:33:00,0
BK1,SYLAUD,3/9/21,0:55:23,0
BK1,SYLAUD,3/9/21,0:56:41,0
BK1,SYLAUD,3/9/21,1:09:34,1
BK1,SYLAUD,3/9/21,8:09:05,8
BK1,SYLAUD,3/9/21,20:21:27,20
BK1,SYLAUD,3/9/21,20:52:14,20
BK1,SYLAUD,3/9/21,20:55:16,20
BK1,SYLAUD,3/9/21,23:08:33,23
BK1,SYLAUD,3/9/21,23:30:57,23
BK1,SYLAUD,3/9/21,23:57:26,23
BK1,SYLAUD,3/10/21,0:25:29,0
BK1,SYLAUD,3/10/21,0:41:22,0
BK1,SYLAUD,3/10/21,0:56:10,0
BK1,SYLAUD,3/10/21,0:58:46,0
BK1,SYLAUD,3/10/21,1:10:33,1
BK1,SYLAUD,3/10/21,2:57:22,2
BK1,SYLAUD,3/10/21,8:33:31,8
BK1,SYLAUD,3/10/21,18:50:33,18
BK1,SYLAUD,3/10/21,19:51:06,19
BK1,SYLAUD,3/10/21,19:54:30,19
BK1,SYLAUD,3/10/21,20:40:43,20
BK1,SYLAUD,3/10/21,23:09:39,23
BK1,SYLAUD,3/11/21,2:06:45,2
CP1,SYLAUD,2/11/21,22:47:27,22
CP1,MIMPOL,2/12/21,8:53:18,8
CP1,SYLAUD,2/12/21,21:54:07,21
CP1,SYLAUD,2/12/21,22:55:28,22
CP1,SYLAUD,2/12/21,23:41:16,23
CP1,SYLAUD,2/12/21,23:58:17,23
CP1,CANLAT,2/13/21,22:58:22,22
CP1,SYLAUD,2/14/21,20:49:57,20
CP1,SYLAUD,2/14/21,22:35:14,22
CP1,SYLAUD,2/15/21,2:34:38,2
CP1,SYLAUD,2/15/21,5:40:42,5
CP1,CANLAT,2/15/21,17:08:05,17
CP1,CANLAT,2/15/21,21:32:33,21
CP1,SYLAUD,2/15/21,23:38:59,23
CP1,CANLAT,2/16/21,2:04:12,2
CP1,CANLAT,2/16/21,2:46:17,2
CP1,CANLAT,2/16/21,2:46:27,2
CP1,CANLAT,2/16/21,2:46:41,2
CP1,SYLAUD,2/16/21,23:12:41,23
CP1,SYLAUD,2/16/21,23:26:44,23
CP1,SYLAUD,2/17/21,3:00:27,3
CP1,SYLAUD,2/17/21,19:03:45,19
CP1,SYLAUD,2/17/21,19:13:39,19
CP1,SYLAUD,2/17/21,21:31:27,21
CP1,SYLAUD,2/17/21,22:04:20,22
CP1,SYLAUD,2/17/21,22:07:42,22
CP1,SYLAUD,2/17/21,22:45:56,22
CP1,SYLAUD,2/17/21,23:49:08,23
CP1,CANLAT,2/18/21,0:08:22,0
CP1,SYLAUD,2/18/21,4:22:34,4
CP1,CORCOR,2/25/21,16:41:46,16
CP1,CORCOR,2/25/21,17:14:08,17
CP1,CORCOR,2/25/21,17:14:25,17
CP1,SYLAUD,2/25/21,18:38:30,18
CP1,SYLAUD,2/25/21,20:49:49,20
CP1,CANLAT,2/25/21,22:14:09,22
CP1,SYLAUD,2/26/21,0:03:58,0
CP1,SYLAUD,2/26/21,0:04:07,0
CP1,SYLAUD,2/26/21,0:30:09,0
CP1,SYLAUD,2/26/21,3:16:11,3
CP1,SYLAUD,2/26/21,4:04:41,4
CP1,SYLAUD,2/26/21,5:53:00,5
CP1,SYLAUD,2/26/21,18:38:12,18
CP1,SYLAUD,2/26/21,18:52:48,18
